test_data,Accuracy,Precision,Recall,F1 Score,Sensitivity,Specificity,percentage,percentageValue
Evaluation for bloomz_abstract_without,0.9891666666666666,0.9867330016583747,0.9916666666666667,0.9891936824605153,0.9916666666666667,0.9866666666666667,90% (1728),1728
Evaluation for llama3_abstract_without,0.9975,0.998330550918197,0.9966666666666667,0.9974979149291077,0.9966666666666667,0.9983333333333333,90% (1728),1728
Evaluation for cohere_abstract_without,0.9725,0.9862778730703259,0.9583333333333334,0.9721048182586645,0.9583333333333334,0.9866666666666667,90% (1728),1728
Evaluation for davinci_abstract_without,0.9466666666666667,0.9926470588235294,0.9,0.9440559440559442,0.9,0.9933333333333333,90% (1728),1728
Evaluation for flant5_abstract_without,0.9483333333333334,0.9855595667870036,0.91,0.9462738301559792,0.91,0.9866666666666667,90% (1728),1728
Evaluation for llama3_ml_without,0.5575,0.531738730450782,0.9633333333333334,0.6852400711321874,0.9633333333333334,0.15166666666666667,90% (1728),1728
Evaluation for bloomz_wiki_without,0.5283333333333333,0.5148861646234676,0.98,0.6750861079219288,0.98,0.07666666666666666,90% (1728),1728
Evaluation for chatgpt_wiki_without,0.5684474123539232,0.5370036101083032,0.993322203672788,0.6971294669009959,0.993322203672788,0.14357262103505844,90% (1728),1728
Evaluation for cohere_wiki_without,0.5491452991452992,0.5260770975056689,0.9914529914529915,0.6874074074074074,0.9914529914529915,0.10683760683760683,90% (1728),1728
Evaluation for davinci_wiki_without,0.535,0.5189873417721519,0.9566666666666667,0.6729191090269636,0.9566666666666667,0.11333333333333333,90% (1728),1728
Validation results,0.9916666666666667,0.987603305785124,0.9958333333333333,0.991701244813278,0.9958333333333333,0.9875,90% (1728),1728
Evaluation for flant5_abstract_without,0.9325,0.9905482041587902,0.8733333333333333,0.9282550930026573,0.8733333333333333,0.9916666666666667,100% (1920),1920
Test results,0.9925,0.9916805324459235,0.9933333333333333,0.9925062447960034,0.9933333333333333,0.9916666666666667,100% (1920),1920
Evaluation for chatgpt_abstract_without,0.9958333333333333,0.9917355371900827,1.0,0.995850622406639,1.0,0.9916666666666667,100% (1920),1920
Evaluation for bloomz_abstract_without,0.9925,0.9916805324459235,0.9933333333333333,0.9925062447960034,0.9933333333333333,0.9916666666666667,100% (1920),1920
Evaluation for llama3_abstract_without,0.9975,0.998330550918197,0.9966666666666667,0.9974979149291077,0.9966666666666667,0.9983333333333333,100% (1920),1920
Evaluation for cohere_abstract_without,0.9783333333333334,0.9914383561643836,0.965,0.9780405405405405,0.965,0.9916666666666667,100% (1920),1920
Evaluation for llama3_ml_without,0.5616666666666666,0.5330948121645797,0.9933333333333333,0.6938300349243307,0.9933333333333333,0.13,100% (1920),1920
Evaluation for bloomz_wiki_without,0.5516666666666666,0.5285977859778598,0.955,0.6805225653206651,0.955,0.14833333333333334,100% (1920),1920
Evaluation for chatgpt_wiki_without,0.5692821368948247,0.5375565610859728,0.991652754590985,0.6971830985915493,0.991652754590985,0.14691151919866444,100% (1920),1920
Evaluation for cohere_wiki_without,0.5544871794871795,0.5293440736478712,0.9829059829059829,0.6881077038145101,0.9829059829059829,0.12606837606837606,100% (1920),1920
Evaluation for davinci_wiki_without,0.5333333333333333,0.5181488203266787,0.9516666666666667,0.6709753231492362,0.9516666666666667,0.115,100% (1920),1920
Validation results,0.9916666666666667,0.98559670781893,0.9979166666666667,0.9917184265010353,0.9979166666666667,0.9854166666666667,100% (1920),1920
Evaluation for davinci_abstract_without,0.945,0.9962825278810409,0.8933333333333333,0.9420035149384886,0.8933333333333333,0.9966666666666667,100% (1920),1920
