test_data,Accuracy,Precision,Recall,F1 Score,Sensitivity,Specificity,percentage,percentageValue
Evaluation for davinci_wiki_without,0.7025,0.8274932614555256,0.5116666666666667,0.6323377960865088,0.5116666666666667,0.8933333333333333,80% (1536),1536
Evaluation for cohere_wiki_without,0.8952991452991453,0.9004329004329005,0.8888888888888888,0.8946236559139785,0.8888888888888888,0.9017094017094017,80% (1536),1536
Evaluation for chatgpt_wiki_without,0.8330550918196995,0.8888888888888888,0.7612687813021702,0.8201438848920862,0.7612687813021702,0.9048414023372288,80% (1536),1536
Evaluation for bloomz_wiki_without,0.6425,0.7304582210242587,0.45166666666666666,0.5581874356333677,0.45166666666666666,0.8333333333333334,80% (1536),1536
Evaluation for llama3_ml_without,0.7116666666666667,0.7873303167420814,0.58,0.6679462571976967,0.58,0.8433333333333334,80% (1536),1536
Evaluation for flant5_abstract_without,0.9666666666666667,0.9929577464788732,0.94,0.9657534246575342,0.94,0.9933333333333333,80% (1536),1536
Evaluation for llama3_abstract_without,0.9958333333333333,0.996661101836394,0.995,0.9958298582151792,0.995,0.9966666666666667,80% (1536),1536
Evaluation for bloomz_abstract_without,0.615,0.9726027397260274,0.23666666666666666,0.3806970509383378,0.23666666666666666,0.9933333333333333,80% (1536),1536
Evaluation for chatgpt_abstract_without,0.91,0.992,0.8266666666666667,0.9018181818181817,0.8266666666666667,0.9933333333333333,80% (1536),1536
Test results,0.9908333333333333,0.9932998324958124,0.9883333333333333,0.9908103592314118,0.9883333333333333,0.9933333333333333,80% (1536),1536
Validation results,0.984375,0.9894736842105263,0.9791666666666666,0.9842931937172775,0.9791666666666666,0.9895833333333334,80% (1536),1536
Evaluation for cohere_abstract_without,0.9908333333333333,0.9932998324958124,0.9883333333333333,0.9908103592314118,0.9883333333333333,0.9933333333333333,80% (1536),1536
Evaluation for chatgpt_wiki_without,0.8472454090150251,0.907843137254902,0.7729549248747913,0.8349864743011723,0.7729549248747913,0.9215358931552587,90% (1728),1728
Evaluation for bloomz_wiki_without,0.5925,0.7402597402597403,0.285,0.411552346570397,0.285,0.9,90% (1728),1728
Evaluation for llama3_ml_without,0.815,0.8129139072847682,0.8183333333333334,0.8156146179401994,0.8183333333333334,0.8116666666666666,90% (1728),1728
Evaluation for flant5_abstract_without,0.9783333333333334,0.9965397923875432,0.96,0.9779286926994907,0.96,0.9966666666666667,90% (1728),1728
Evaluation for davinci_abstract_without,0.5991666666666666,0.9917355371900827,0.2,0.332871012482663,0.2,0.9983333333333333,90% (1728),1728
Evaluation for cohere_abstract_without,0.9908333333333333,0.9966273187183811,0.985,0.9907795473595976,0.985,0.9966666666666667,90% (1728),1728
Evaluation for llama3_abstract_without,0.9966666666666667,1.0,0.9933333333333333,0.9966555183946488,0.9933333333333333,1.0,90% (1728),1728
Evaluation for bloomz_abstract_without,0.5741666666666667,0.978494623655914,0.15166666666666667,0.26262626262626265,0.15166666666666667,0.9966666666666667,90% (1728),1728
Evaluation for chatgpt_abstract_without,0.9733333333333334,0.9965034965034965,0.95,0.9726962457337883,0.95,0.9966666666666667,90% (1728),1728
Test results,0.9908333333333333,0.9966273187183811,0.985,0.9907795473595976,0.985,0.9966666666666667,90% (1728),1728
Validation results,0.9864583333333333,0.989517819706499,0.9833333333333333,0.9864158829676071,0.9833333333333333,0.9895833333333334,90% (1728),1728
Evaluation for davinci_wiki_without,0.7183333333333334,0.8638888888888889,0.5183333333333333,0.6479166666666667,0.5183333333333333,0.9183333333333333,90% (1728),1728
Evaluation for cohere_wiki_without,0.8963675213675214,0.9244851258581236,0.8632478632478633,0.8928176795580111,0.8632478632478633,0.9294871794871795,90% (1728),1728
Evaluation for chatgpt_wiki_without,0.8155258764607679,0.8825910931174089,0.7278797996661102,0.7978042086001831,0.7278797996661102,0.9031719532554258,100% (1920),1920
Evaluation for bloomz_wiki_without,0.625,0.7272727272727273,0.4,0.5161290322580645,0.4,0.85,100% (1920),1920
Evaluation for llama3_ml_without,0.585,0.6123348017621145,0.4633333333333333,0.5275142314990513,0.4633333333333333,0.7066666666666667,100% (1920),1920
Evaluation for flant5_abstract_without,0.9825,0.9881956155143339,0.9766666666666667,0.9823973176865047,0.9766666666666667,0.9883333333333333,100% (1920),1920
Evaluation for davinci_abstract_without,0.6833333333333333,0.9782608695652174,0.375,0.5421686746987953,0.375,0.9916666666666667,100% (1920),1920
Evaluation for cohere_abstract_without,0.9908333333333333,0.988391376451078,0.9933333333333333,0.9908561928512053,0.9933333333333333,0.9883333333333333,100% (1920),1920
Evaluation for llama3_abstract_without,0.98,0.9660194174757282,0.995,0.9802955665024631,0.995,0.965,100% (1920),1920
Evaluation for bloomz_abstract_without,0.6433333333333333,0.9623655913978495,0.29833333333333334,0.455470737913486,0.29833333333333334,0.9883333333333333,100% (1920),1920
Evaluation for chatgpt_abstract_without,0.9783333333333334,0.9880952380952381,0.9683333333333334,0.9781144781144783,0.9683333333333334,0.9883333333333333,100% (1920),1920
Test results,0.9908333333333333,0.988391376451078,0.9933333333333333,0.9908561928512053,0.9933333333333333,0.9883333333333333,100% (1920),1920
Validation results,0.9833333333333333,0.9734693877551021,0.99375,0.9835051546391752,0.99375,0.9729166666666667,100% (1920),1920
Evaluation for davinci_wiki_without,0.6941666666666667,0.8319088319088319,0.4866666666666667,0.6140904311251314,0.4866666666666667,0.9016666666666666,100% (1920),1920
Evaluation for cohere_wiki_without,0.8963675213675214,0.9149888143176734,0.8739316239316239,0.8939890710382514,0.8739316239316239,0.9188034188034188,100% (1920),1920
